row,col,walls,solutionIndex
0,0,t|t|f|t,0
0,1,t|f|t|t,
0,2,t|f|t|f,
0,3,t|f|t|f,
0,4,t|f|t|f,
0,5,t|f|f|f,
0,6,t|f|t|f,
0,7,t|f|t|f,
0,8,t|t|f|f,
1,0,f|t|f|t,1
1,1,t|f|f|t,6
1,2,t|f|t|f,7
1,3,t|f|t|f,8
1,4,t|t|f|f,9
1,5,f|f|t|t,
1,6,t|f|f|f,
1,7,t|t|f|f,
1,8,f|t|t|t,
2,0,f|t|f|t,2
2,1,f|t|f|t,5
2,2,t|f|f|t,16
2,3,t|t|f|f,15
2,4,f|f|t|t,10
2,5,t|t|f|f,11
2,6,f|t|f|t,
2,7,f|f|t|t,
2,8,t|t|f|f,
3,0,f|f|t|t,3
3,1,f|t|t|f,4
3,2,f|t|f|t,17
3,3,f|f|t|t,14
3,4,t|f|t|f,13
3,5,f|t|t|f,12
3,6,f|f|t|t,
3,7,t|t|f|f,
3,8,f|t|f|t,
4,0,t|f|f|t,
4,1,t|t|f|f,
4,2,f|f|t|t,18
4,3,t|t|f|f,19
4,4,t|f|t|t,
4,5,t|f|t|f,
4,6,t|f|f|f,
4,7,f|t|t|f,
4,8,f|t|f|t,
5,0,f|t|f|t,
5,1,f|t|f|t,
5,2,t|f|f|t,21
5,3,f|t|t|f,20
5,4,t|f|f|t,25
5,5,t|t|f|f,26
5,6,f|t|t|t,
5,7,t|f|f|t,34
5,8,f|t|f|f,35
6,0,f|t|f|t,
6,1,f|t|t|t,
6,2,f|f|t|t,22
6,3,t|f|t|f,23
6,4,f|t|t|f,24
6,5,f|t|f|t,27
6,6,t|f|f|t,32
6,7,f|t|t|f,33
6,8,f|t|f|t,36
7,0,f|f|f|t,
7,1,t|f|f|f,
7,2,t|f|t|f,
7,3,t|f|t|f,
7,4,t|t|t|f,
7,5,f|t|f|t,28
7,6,f|t|f|t,31
7,7,t|f|f|t,38
7,8,f|t|t|f,37
8,0,f|t|t|t,
8,1,f|f|t|t,
8,2,t|f|t|f,
8,3,t|f|t|f,
8,4,t|f|t|f,
8,5,f|f|t|f,29
8,6,f|t|t|f,30
8,7,f|f|t|t,39
8,8,t|t|t|f,40
