id,index,fact
ak,0,Abortions are covered by state Medicaid funds.
ak,1,All qualified health care professionals can perform abortions.
ak,2,Patients must obtain medication abortion from a doctor.
ak,3,Individual providers may refuse to perform abortions.
ak,4,Private institutions may refuse to perform abortions.
al,0,Abortion rights are explicitly excluded in the state constitution.
al,1,Patients must attend counseling 48 hours before obtaining an abortion.
al,2,Patients must get an ultrasound even if it is medically unnecessary.
al,3,Patients must obtain medication abortion in person.
al,4,Parental consent is require for minors seeking abortions.
ar,0,Patients must attend in-person counseling 72 hours before obtaining an abortion.
ar,1,Patients must get an ultrasound even if it is medically unnecessary.
ar,2,Medicaid coverage of abortion is banned with very little exceptions.
ar,3,Parental consent is require for minors seeking abortions.
ar,4,Only physicians can provide abortions.
az,0,Patients must attend in-person counseling 24 hours before obtaining an abortion.
az,1,Patients must get an ultrasound even if it is medically unnecessary.
az,2,Patients must obtain medication abortion in person.
az,3,Mailing abortion pills is banned.
az,4,Parental consent is require for minors seeking abortions.
ca,0,NAME is a 25-year-old chef in California.
ca,1,They moved there right out of college and started working as a chef at a friend of a friend of a friend’s restaurant.
ca,2,"Their second night on the job, they met their partner. They’ve been together ever since. Going on 3 years."
ca,3,"During year 2, NAME’s partner’s sister couldn’t take care of her twins anymore, so they suddenly went from uncles to dads. "
ca,4,"Growing up, they never envisioned having kids. Mostly because “having kids” meant doing it the natural way. And well, NAME, was transgender."
ca,5,"After years of being out of place in their own body, they had top surgery and were taking testosterone. But that joy came to an abrupt halt. NAME got pregnant."
ca,6,"NAME was happy with their life: their partner, their two adopted children, even their cramped apartment. They didn’t want to be pregnant. So they wanted an abortion."
ca,7,"NAME’s partner worked at a hospital, so they went there, but NAME was misgendered and denied prescribe abortion medication because of the hospital's religious affiliated."
ca,8,"Defeated, they went home and began to mindlessly scroll through their social feeds. Suddenly they saw an ad for LGBTQ+ telehealth abortion care."
ca,9,"They could order the pills. NAME was relieved, but California’s abortion maze should have been simpler."
co,0,Parental notification is require for minors seeking abortions.
co,1,All qualified health care professionals can perform abortions.
co,2,Medicaid coverage of abortion is banned with very little exceptions.
co,3,Abortion providers are protected by a shield law.
co,4,Abortion clinics are protected by a bubble zone.
ct,0,Abortions are covered by state Medicaid funds.
ct,1,All qualified health care professionals can perform abortions.
ct,2,Abortion providers are protected by a shield law.
ct,3,Abortion clinics face unnecessary regulations without basis in medical standards.
ct,4,Individual providers may refuse to perform abortions.
dc,0,"DC is under the jurisdiction of the US Congress, who can modify or overturn legislation and impose unwanted laws on DC."
dc,1,Medicaid coverage of abortion is banned with very little exceptions.
dc,2,Abortion providers are protected by a shield law.
dc,3,Laws prohibit obstructing access to abortion clinics.
dc,4,Emergency rooms must dispense emergency contraception upon request.
de,0,Medicaid coverage of abortion is banned with very little exceptions.
de,1,Parental notification is require for minors seeking abortions.
de,2,All qualified health care professionals can perform abortions.
de,3,Abortion providers are protected by a shield law.
de,4,Individual providers may refuse to perform abortions.
fl,0,NAME is a 33-year-old woman in Florida.
fl,1,"On the day before Thanksgiving, NAME, her husband, and their 8-year-old son went to her scheduled ultrasound. NAME was 23 weeks pregnant."
fl,2,"They were all excited about the possibility of a new sibling, but their excitement turned to fear when the technician suddenly left the room to get the doctor."
fl,3,"NAME’s baby had no right kidney, had too little amniotic fluid, and had a swollen heart. She was told her baby was “incompatible with life.”"
fl,4,"The baby would likely be stillborn or would die within minutes, or at most hours, after birth. NAME was also at risk of preeclampsia, a potentially deadly complication."
fl,6,"She was advised to seek care out-of-state, but NAME and her husband didn’t have the money to travel. So, she carried her baby for 13 more weeks, knowing it would die"
fl,5,NAME was well past Florida’s 15-week abortion limit and her doctor would not terminate the pregnancy because of the state’s other restrictions.
fl,7,"Those weeks were gut wrenching and NAME started experiencing extreme depression and anxiety for the first time in her life. At 37 weeks, doctors induced labor."
fl,8,"NAME and her husband watched their baby take his first breath, and then 94 minutes later, watched it take his last. The experience shattered NAME’s family. "
fl,9,"Her 8-year-old had his dreams of becoming a big brother ripped away, and her relationship with her husband was strained. Florida’s abortion maze created this trauma."
ga,0,Patients must attend counseling 24 hours before obtaining an abortion.
ga,1,Medicaid coverage of abortion is banned with very little exceptions.
ga,2,Parental notification is require for minors seeking abortions.
ga,3,Only physicians can provide abortions.
ga,4,Individual providers may refuse to perform abortions.
hi,0,Abortions are covered by state Medicaid funds.
hi,1,All qualified health care professionals can perform abortions.
hi,2,Abortion providers are protected by a shield law.
hi,3,Individual providers may refuse to perform abortions.
hi,4,Institutions may refuse to perform abortions.
ia,0,Patients must attend in-person counseling 24 hours before obtaining an abortion.
