row,col,walls,solutionIndex
0,0,t|t|f|t,0
0,1,t|f|t|t,
0,2,t|f|t|f,
0,3,t|f|f|f,
0,4,t|f|f|f,12
0,5,t|t|f|f,13
0,6,t|f|f|t,16
0,7,t|f|t|f,17
0,8,t|f|t|f,18
0,9,t|f|t|f,19
0,10,t|f|t|f,20
0,11,t|f|t|f,21
0,12,t|t|f|f,22
0,13,t|t|f|t,
1,0,f|f|f|t,1
1,1,t|f|t|f,2
1,2,t|t|f|f,3
1,3,f|t|t|t,
1,4,f|t|f|t,11
1,5,f|f|t|t,14
1,6,f|t|t|f,15
1,7,t|t|f|t,
1,8,t|f|f|t,57
1,9,t|f|f|f,56
1,10,t|f|t|f,
1,11,t|t|t|f,
1,12,f|f|t|t,23
1,13,f|t|f|f,24
2,0,f|f|f|t,
2,1,t|t|f|f,
2,2,f|f|t|t,4
2,3,t|t|f|f,5
2,4,f|t|f|t,10
2,5,t|f|f|t,
2,6,t|t|t|f,
2,7,f|f|f|t,59
2,8,f|t|t|f,58
2,9,f|f|t|t,55
2,10,t|f|t|f,54
2,11,t|f|f|f,53
2,12,t|t|t|f,
2,13,f|t|f|t,25
3,0,f|t|f|t,
3,1,f|f|t|t,
3,2,t|t|f|f,
3,3,f|t|f|t,6
3,4,f|t|f|t,9
3,5,f|t|f|t,
3,6,t|f|f|t,61
3,7,f|t|t|f,60
3,8,t|f|f|t,47
3,9,t|f|t|f,48
3,10,t|t|f|f,49
3,11,f|t|f|t,52
3,12,t|f|f|t,27
3,13,f|t|t|f,26
4,0,f|f|t|t,
4,1,t|t|f|f,
4,2,f|f|f|t,
4,3,f|f|t|f,7
4,4,f|t|t|f,8
4,5,f|f|f|t,63
4,6,f|f|t|f,62
4,7,t|t|t|f,
4,8,f|t|f|t,46
4,9,t|f|t|t,
4,10,f|f|t|f,50
4,11,f|t|f|f,51
4,12,f|f|t|t,28
4,13,t|t|f|f,29
5,0,t|t|f|t,
5,1,f|t|f|t,
5,2,f|f|f|t,
5,3,t|f|f|f,
5,4,t|t|t|f,
5,5,f|t|f|t,64
5,6,t|f|f|t,43
5,7,t|f|t|f,44
5,8,f|t|t|f,45
5,9,t|f|f|t,36
5,10,t|t|f|f,35
5,11,f|t|t|t,
5,12,t|f|f|t,31
5,13,f|t|t|f,30
6,0,f|t|f|t,
6,1,f|t|f|t,
6,2,f|t|f|t,
6,3,f|t|t|t,
6,4,t|f|f|t,66
6,5,f|t|t|f,65
6,6,f|f|t|t,42
6,7,t|f|t|f,41
6,8,t|t|f|f,40
6,9,f|t|f|t,37
6,10,f|f|t|t,34
6,11,t|f|f|f,33
6,12,f|t|t|f,32
6,13,t|t|f|t,
7,0,f|f|f|t,
7,1,f|t|t|f,
7,2,f|f|t|t,
7,3,t|t|f|f,
7,4,f|f|t|t,67
7,5,t|t|f|f,68
7,6,t|f|f|t,71
7,7,t|t|f|f,72
7,8,f|f|t|t,39
7,9,f|t|t|f,38
7,10,t|f|t|t,
7,11,f|f|f|f,
7,12,t|t|f|f,
7,13,f|t|f|t,
8,0,f|t|f|t,
8,1,t|f|f|t,
8,2,t|t|t|f,
8,3,f|f|f|t,
8,4,t|t|f|f,
8,5,f|f|t|t,69
8,6,f|t|t|f,70
8,7,f|t|f|t,73
8,8,t|f|f|t,
8,9,t|f|f|f,
8,10,t|f|t|f,
8,11,f|t|t|f,
8,12,f|f|t|t,
8,13,f|t|t|f,
9,0,f|f|t|t,
9,1,f|t|f|f,
9,2,t|f|f|t,
9,3,f|t|t|f,
9,4,f|t|f|t,
9,5,t|t|f|t,
9,6,t|f|f|t,75
9,7,f|t|t|f,74
9,8,f|t|f|t,
9,9,f|t|t|t,
9,10,t|f|f|t,
9,11,t|t|f|f,
9,12,t|f|f|t,
9,13,t|t|f|f,
10,0,t|t|f|t,
10,1,f|t|f|t,
10,2,f|t|f|t,
10,3,t|f|f|t,
10,4,f|t|t|f,
10,5,f|f|f|t,
10,6,f|t|f|f,76
10,7,t|f|t|t,
10,8,f|f|t|f,
10,9,t|f|t|f,
10,10,f|t|f|f,
10,11,f|f|t|t,
10,12,f|t|t|f,
10,13,f|t|f|t,
11,0,f|f|f|t,
11,1,f|t|t|f,
11,2,f|t|f|t,
11,3,f|t|f|t,
11,4,t|f|f|t,
11,5,f|t|f|f,
11,6,f|f|t|t,77
11,7,t|t|f|f,78
11,8,t|f|f|t,81
11,9,t|t|f|f,82
11,10,f|f|f|t,
11,11,t|f|t|f,
11,12,t|t|t|f,
11,13,f|t|f|t,
12,0,f|t|f|t,
12,1,t|f|f|t,
12,2,f|t|t|f,
12,3,f|f|t|t,
12,4,f|t|t|f,
12,5,f|f|t|t,
12,6,t|t|t|f,
12,7,f|f|t|t,79
12,8,f|t|t|f,80
12,9,f|t|f|t,83
12,10,f|t|t|t,
12,11,t|f|f|t,87
12,12,t|f|t|f,88
12,13,f|t|f|f,89
13,0,f|t|t|t,
13,1,f|f|t|t,
13,2,t|f|t|f,
13,3,t|f|t|f,
13,4,t|f|t|f,
13,5,t|f|t|f,
13,6,t|f|t|f,
13,7,t|f|t|f,
13,8,t|f|t|f,
13,9,f|f|t|f,84
13,10,t|f|t|f,85
13,11,f|t|t|f,86
13,12,t|f|t|t,
13,13,f|t|t|f,90
