row,col,walls,solutionIndex
0,0,t|f|t|t,0
0,1,t|t|f|f,1
0,2,t|f|t|t,
0,3,t|f|t|f,
0,4,t|f|t|f,
0,5,t|f|t|f,
0,6,t|f|f|f,
0,7,t|t|f|f,
1,0,t|t|f|t,
1,1,f|f|t|t,2
1,2,t|f|f|f,3
1,3,t|t|f|f,4
1,4,t|f|f|t,7
1,5,t|f|t|f,8
1,6,f|t|f|f,9
1,7,f|t|f|t,
2,0,f|t|f|t,
2,1,t|f|f|t,
2,2,f|t|f|f,
2,3,f|f|t|t,5
2,4,f|t|t|f,6
2,5,t|f|f|t,11
2,6,f|t|t|f,10
2,7,f|t|f|t,
3,0,f|f|f|t,
3,1,f|t|t|f,
3,2,f|t|f|t,
3,3,t|f|f|t,14
3,4,t|f|t|f,13
3,5,f|t|t|f,12
3,6,t|f|t|t,
3,7,f|t|f|f,
4,0,f|t|t|t,
4,1,t|f|f|t,
4,2,f|t|f|f,
4,3,f|f|t|t,15
4,4,t|f|t|f,16
4,5,t|t|f|f,17
4,6,t|f|f|t,20
4,7,f|t|f|f,21
5,0,t|f|f|t,
5,1,f|t|t|f,
5,2,f|t|f|t,
5,3,t|f|f|t,
5,4,t|t|f|f,
5,5,f|f|t|t,18
5,6,f|t|t|f,19
5,7,f|t|f|t,22
6,0,f|f|f|t,
6,1,t|t|f|f,
6,2,f|t|t|t,
6,3,f|t|f|t,
6,4,f|t|f|t,
6,5,t|f|f|t,25
6,6,t|f|t|f,24
6,7,f|t|t|f,23
7,0,f|t|t|t,
7,1,f|f|t|t,
7,2,t|f|t|f,
7,3,f|t|t|f,
7,4,f|f|t|t,
7,5,f|f|t|f,26
7,6,t|f|t|f,27
7,7,t|t|t|f,28
