row,col,walls,solutionIndex
0,0,t|f|t|t,0
0,1,t|t|f|f,1
0,2,t|f|t|t,
0,3,t|f|t|f,
0,4,t|f|f|f,6
0,5,t|t|f|f,7
0,6,t|f|t|t,
0,7,t|f|t|f,
0,8,t|f|t|f,
0,9,t|t|f|f,
1,0,t|t|f|t,
1,1,f|f|t|t,2
1,2,t|f|t|f,3
1,3,t|f|t|f,4
1,4,f|t|t|f,5
1,5,f|t|f|t,8
1,6,t|f|f|t,11
1,7,t|f|t|f,12
1,8,t|f|t|f,13
1,9,f|t|f|f,14
2,0,f|f|f|t,
2,1,t|f|t|f,
2,2,t|f|f|f,
2,3,t|f|t|f,
2,4,t|f|f|f,
2,5,f|f|t|f,9
2,6,f|t|t|f,10
2,7,t|t|f|t,
2,8,t|f|f|t,16
2,9,f|t|t|f,15
3,0,f|t|f|t,
3,1,t|f|f|t,
3,2,f|t|t|f,
3,3,t|f|f|t,
3,4,f|t|t|f,
3,5,t|f|f|t,
3,6,t|f|f|f,
3,7,f|t|t|f,
3,8,f|t|f|t,17
3,9,t|t|f|t,
4,0,f|t|f|t,
4,1,f|t|f|t,
4,2,t|f|t|t,
4,3,f|t|t|f,
4,4,t|f|f|t,
4,5,f|t|t|f,
4,6,f|f|t|t,
4,7,t|t|f|f,
4,8,f|f|t|t,18
4,9,f|t|f|f,19
5,0,f|t|f|t,
5,1,f|f|t|t,
5,2,t|t|f|f,
5,3,t|f|f|t,
5,4,f|t|t|f,
5,5,t|f|f|t,
5,6,t|t|f|f,
5,7,f|f|f|t,
5,8,t|t|t|f,
5,9,f|t|f|t,20
6,0,f|t|f|t,
6,1,t|f|f|t,
6,2,f|t|t|f,
6,3,f|t|f|t,
6,4,t|f|f|t,
6,5,f|t|f|f,
6,6,f|f|t|t,
6,7,f|t|t|f,
6,8,t|f|f|t,22
6,9,f|t|t|f,21
7,0,f|t|f|t,
7,1,f|f|t|t,
7,2,t|f|t|f,
7,3,f|t|t|f,
7,4,f|t|f|t,
7,5,f|t|t|t,
7,6,t|f|f|t,25
7,7,t|f|t|f,24
7,8,f|t|t|f,23
7,9,t|t|f|t,
8,0,f|t|f|t,
8,1,t|f|t|t,
8,2,t|f|t|f,
8,3,t|t|f|f,
8,4,f|t|f|t,
8,5,t|f|f|t,27
8,6,f|t|t|f,26
8,7,t|f|t|t,
8,8,t|f|t|f,
8,9,f|t|f|f,
9,0,f|f|t|t,
9,1,t|f|t|f,
9,2,t|f|t|f,
9,3,f|t|t|f,
9,4,f|f|t|t,
9,5,f|f|t|f,28
9,6,t|f|t|f,29
9,7,t|f|t|f,30
9,8,t|f|t|f,31
9,9,f|t|t|f,32
