row,col,walls,solutionIndex
0,0,t|t|f|t,0
0,1,t|f|f|t,
0,2,t|f|t|f,
0,3,t|f|f|f,
0,4,t|t|t|f,
0,5,t|f|f|t,
0,6,t|f|t|f,
0,7,t|f|t|f,
0,8,t|f|f|f,
0,9,t|t|t|f,
1,0,f|t|f|t,1
1,1,f|f|f|t,
1,2,t|t|f|f,
1,3,f|f|f|t,
1,4,t|f|t|f,
1,5,f|f|t|f,
1,6,t|f|f|f,
1,7,t|t|t|f,
1,8,f|f|f|t,
1,9,t|t|f|f,
2,0,f|f|f|t,2
2,1,f|t|f|t,
2,2,f|t|f|t,
2,3,f|t|f|t,
2,4,t|f|t|t,
2,5,t|t|f|f,
2,6,f|f|f|t,
2,7,t|t|f|f,
2,8,f|t|f|t,
2,9,f|t|f|t,
3,0,f|t|f|t,3
3,1,f|t|t|t,
3,2,f|f|f|t,
3,3,f|f|t|f,
3,4,t|f|f|f,
3,5,f|f|t|f,
3,6,f|t|f|f,
3,7,f|f|f|t,
3,8,f|f|t|f,
3,9,f|t|f|f,
4,0,f|f|f|t,4
4,1,t|t|f|f,5
4,2,f|f|f|t,
4,3,t|f|t|f,
4,4,f|t|t|f,
4,5,t|f|f|t,
4,6,f|t|t|f,
4,7,f|t|f|t,
4,8,t|f|f|t,
4,9,f|t|t|f,
5,0,f|t|f|t,
5,1,f|f|f|t,6
5,2,f|f|f|f,7
5,3,t|f|f|f,8
5,4,t|f|f|f,9
5,5,f|f|t|f,10
5,6,t|t|f|f,11
5,7,f|t|f|t,
5,8,f|f|t|t,
5,9,t|t|f|f,
6,0,f|t|f|t,
6,1,f|t|f|t,
6,2,f|t|t|t,
6,3,f|t|f|t,
6,4,f|f|f|t,
6,5,t|t|t|f,
6,6,f|f|f|t,12
6,7,f|f|t|f,13
6,8,t|f|f|f,14
6,9,f|t|f|f,
7,0,f|t|f|t,
7,1,f|f|t|t,
7,2,t|f|f|f,
7,3,f|t|f|f,
7,4,f|t|f|t,
7,5,t|f|f|t,
7,6,f|t|f|f,
7,7,t|f|t|t,
7,8,f|t|f|f,15
7,9,f|t|t|t,
8,0,f|f|f|t,
8,1,t|t|t|f,
8,2,f|t|f|t,
8,3,f|t|f|t,
8,4,f|f|f|t,
8,5,f|t|t|f,
8,6,f|f|f|t,
8,7,t|t|f|f,
8,8,f|f|t|t,16
8,9,t|t|f|f,17
9,0,f|f|t|t,
9,1,t|f|t|f,
9,2,f|f|t|f,
9,3,f|f|t|f,
9,4,f|f|t|t,
9,5,t|f|t|f,
9,6,f|t|t|f,
9,7,f|f|t|t,
9,8,t|f|t|f,
9,9,f|t|t|f,18
