row,col,walls,solutionIndex
0,0,t|t|f|t,0
0,1,t|f|f|t,
0,2,t|f|f|f,
0,3,t|t|f|f,
0,4,t|f|t|t,
0,5,t|t|f|f,
0,6,t|f|f|t,
0,7,t|t|f|f,
0,8,t|f|f|t,
0,9,t|f|t|f,
0,10,t|f|f|f,
0,11,t|f|t|f,
0,12,t|t|f|f,
0,13,t|f|f|t,
0,14,t|f|t|f,
0,15,t|f|t|f,
0,16,t|t|f|f,
0,17,t|f|f|t,
0,18,t|f|f|f,
0,19,t|f|t|f,
0,20,t|f|t|f,
0,21,t|t|t|f,
1,0,f|t|f|t,1
1,1,f|t|t|t,
1,2,f|t|f|t,
1,3,f|f|t|t,
1,4,t|t|f|f,
1,5,f|f|t|t,
1,6,f|t|t|f,
1,7,f|t|f|t,
1,8,f|t|f|t,
1,9,t|t|f|t,
1,10,f|f|t|t,
1,11,t|t|f|f,
1,12,f|t|f|t,
1,13,f|t|f|t,
1,14,t|f|f|t,
1,15,t|f|t|f,
1,16,f|t|f|f,
1,17,f|t|f|t,
1,18,f|f|t|t,
1,19,t|f|t|f,
1,20,t|f|t|f,
1,21,t|t|f|f,
2,0,f|t|f|t,2
2,1,t|f|f|t,
2,2,f|t|t|f,
2,3,t|t|f|t,
2,4,f|f|t|t,
2,5,t|f|t|f,
2,6,t|t|f|f,
2,7,f|t|f|t,
2,8,f|t|f|t,
2,9,f|f|f|t,
2,10,t|t|f|f,
2,11,f|t|f|t,
2,12,f|t|f|t,
2,13,f|t|t|t,
2,14,f|f|t|t,
2,15,t|t|f|f,
2,16,f|t|f|t,
2,17,f|f|t|t,
2,18,t|t|f|f,
2,19,t|t|f|t,
2,20,t|f|f|t,
2,21,f|t|f|f,
3,0,f|t|f|t,3
3,1,f|t|f|t,
3,2,t|f|t|t,
3,3,f|f|t|f,
3,4,t|f|t|f,
3,5,t|t|f|f,
3,6,f|f|f|t,
3,7,f|t|f|f,
3,8,f|t|f|t,
3,9,f|t|t|t,
3,10,f|t|f|t,
3,11,f|t|f|t,
3,12,f|f|t|t,
3,13,t|t|f|f,
3,14,t|f|f|t,
3,15,f|t|t|f,
3,16,f|t|t|t,
3,17,t|f|f|t,
3,18,f|f|t|f,
3,19,f|t|t|f,
3,20,f|t|f|t,
3,21,f|t|f|t,
4,0,f|t|f|t,4
4,1,f|f|f|t,
4,2,t|f|f|f,10
4,3,t|f|f|f,11
4,4,t|f|t|f,
4,5,f|t|t|f,
4,6,f|t|f|t,
4,7,f|f|t|t,
4,8,f|f|t|f,
4,9,t|f|t|f,
4,10,f|t|t|f,
4,11,f|t|f|t,
4,12,t|f|t|t,
4,13,f|f|t|f,
4,14,f|t|t|f,
4,15,t|f|f|t,
4,16,t|f|t|f,
4,17,f|t|t|f,
4,18,t|f|f|t,
4,19,t|f|t|f,
4,20,f|t|t|f,
4,21,f|t|f|t,
5,0,f|t|f|t,5
5,1,f|t|t|t,
5,2,f|t|f|t,9
5,3,f|f|f|t,12
5,4,t|f|t|f,13
5,5,t|t|f|f,14
5,6,f|f|t|t,
5,7,t|f|t|f,
5,8,t|f|t|f,
5,9,t|f|t|f,
5,10,t|t|f|f,
5,11,f|f|f|t,
5,12,t|f|t|f,
5,13,t|f|t|f,
5,14,t|t|f|f,
5,15,f|f|t|t,
5,16,t|f|t|f,
5,17,t|t|f|f,
5,18,f|t|f|t,
5,19,t|t|f|t,
5,20,t|f|f|t,
5,21,f|t|t|f,
6,0,f|f|t|t,6
6,1,t|f|t|f,7
6,2,f|t|t|f,8
6,3,f|f|t|t,
6,4,t|t|t|f,
6,5,f|f|f|t,15
6,6,t|f|t|f,
6,7,t|t|f|f,
6,8,t|f|f|t,
6,9,t|t|f|f,
6,10,f|t|f|t,
6,11,f|t|f|t,
6,12,t|t|f|t,
6,13,t|f|f|t,
6,14,f|f|t|f,
6,15,t|f|f|f,
6,16,t|t|t|f,
6,17,f|t|f|t,
6,18,f|t|f|t,
6,19,f|f|t|t,
6,20,f|f|t|f,
6,21,t|t|t|f,
7,0,t|f|f|t,21
7,1,t|f|f|f,20
7,2,t|f|t|f,19
7,3,t|f|t|f,18
7,4,t|f|t|f,17
7,5,f|t|t|f,16
7,6,t|f|f|t,
7,7,f|t|t|f,
7,8,f|t|f|t,
7,9,f|t|t|t,
7,10,f|f|f|t,
7,11,f|f|f|f,
7,12,f|t|t|f,
7,13,f|f|t|t,
7,14,t|t|f|f,
7,15,f|t|f|t,
7,16,t|f|f|t,
7,17,f|t|t|f,
7,18,f|f|t|t,
7,19,t|t|f|f,
7,20,t|f|f|t,
7,21,t|t|f|f,
8,0,f|t|f|t,22
8,1,f|f|t|t,
8,2,t|t|f|f,
8,3,t|f|t|t,
8,4,t|f|f|f,
8,5,t|f|t|f,
8,6,f|f|t|f,
8,7,t|f|t|f,
8,8,f|t|f|f,
8,9,t|f|f|t,
8,10,f|t|t|f,
8,11,f|t|t|t,
8,12,t|f|f|t,
8,13,t|f|t|f,
8,14,f|t|t|f,
8,15,f|t|t|t,
8,16,f|t|f|t,
8,17,t|f|f|t,
8,18,t|t|t|f,
8,19,f|f|t|t,
8,20,f|t|t|f,
8,21,f|t|f|t,
9,0,f|t|f|t,23
9,1,t|t|f|t,
9,2,f|f|t|t,
9,3,t|t|f|f,
9,4,f|f|t|t,
9,5,t|t|t|f,
9,6,t|f|f|t,
9,7,t|t|f|f,
9,8,f|t|f|t,
9,9,f|f|t|t,
9,10,t|f|t|f,
9,11,t|t|f|f,
9,12,f|t|f|t,
9,13,t|f|f|t,
9,14,t|t|f|f,
9,15,t|f|f|t,
9,16,f|f|t|f,
9,17,f|t|t|f,
9,18,t|f|f|t,
9,19,t|f|t|f,
9,20,t|t|f|f,
9,21,f|t|f|t,
10,0,f|f|t|t,24
10,1,f|t|f|f,25
10,2,t|t|f|t,
10,3,f|f|t|t,
10,4,t|f|t|f,
10,5,t|f|t|f,
10,6,f|t|t|f,
10,7,f|t|f|t,
10,8,f|t|t|t,
10,9,t|f|f|t,
10,10,t|f|t|f,
10,11,f|t|t|f,
10,12,f|t|f|t,
10,13,f|t|f|t,
10,14,f|t|f|t,
10,15,f|f|t|t,
10,16,t|t|f|f,
10,17,t|f|f|t,
10,18,f|t|t|f,
10,19,t|f|f|t,
10,20,f|t|t|f,
10,21,f|t|f|t,
11,0,t|t|f|t,
11,1,f|t|f|t,26
11,2,f|f|f|t,
11,3,t|f|t|f,
11,4,t|t|f|f,
11,5,t|t|f|t,
11,6,t|f|f|t,
11,7,f|t|t|f,
11,8,t|f|f|t,
11,9,f|t|t|f,
11,10,t|f|f|t,
11,11,t|f|f|f,
11,12,f|t|f|f,
11,13,f|t|f|t,
11,14,f|f|t|t,
11,15,t|f|t|f,
11,16,f|t|t|f,
11,17,f|f|f|t,
11,18,t|t|f|f,
11,19,f|t|f|t,
11,20,t|f|t|t,
11,21,f|t|f|f,
12,0,f|t|f|t,
12,1,f|t|f|t,27
12,2,f|t|f|t,
12,3,t|f|t|t,
12,4,f|f|t|f,
12,5,f|t|f|f,
12,6,f|f|t|t,
12,7,t|f|t|f,
12,8,f|t|t|f,
12,9,t|t|f|t,
12,10,f|t|f|t,
12,11,f|t|f|t,
12,12,f|t|t|t,
12,13,f|t|f|t,
12,14,t|t|f|t,
12,15,t|f|f|t,
12,16,t|t|f|f,
12,17,f|t|t|t,
12,18,f|t|f|t,
12,19,f|f|t|t,
12,20,t|f|t|f,
12,21,f|t|f|f,
13,0,f|t|f|t,
13,1,f|t|f|t,28
13,2,f|f|f|t,
13,3,t|t|f|f,
13,4,t|f|t|t,
13,5,f|t|f|f,
13,6,t|f|f|t,
13,7,t|t|f|f,
13,8,t|f|f|t,
13,9,f|f|t|f,
13,10,f|t|t|f,
13,11,f|f|t|t,
13,12,t|f|f|f,
13,13,f|f|t|f,
13,14,f|t|t|f,
13,15,f|t|f|t,
13,16,f|t|f|t,
13,17,t|f|f|t,
13,18,f|t|t|f,
13,19,t|f|f|t,
13,20,t|f|t|f,
13,21,f|t|t|f,
14,0,f|f|f|t,30
14,1,f|t|t|f,29
14,2,f|t|f|t,
14,3,f|f|t|t,
14,4,t|t|f|f,
14,5,f|t|f|t,
14,6,f|t|t|t,
14,7,f|f|t|t,
14,8,f|t|t|f,
14,9,t|f|f|t,
14,10,t|f|t|f,
14,11,t|t|f|f,
14,12,f|t|t|t,
14,13,t|f|f|t,
14,14,t|f|t|f,
14,15,f|t|t|f,
14,16,f|f|t|t,
