row,col,walls,solutionIndex
0,0,t|t|f|t,0
0,1,t|f|f|t,3
0,2,t|t|f|f,4
0,3,t|f|t|t,
0,4,t|f|f|f,12
0,5,t|f|t|f,13
0,6,t|t|f|f,14
0,7,t|f|f|t,
0,8,t|t|f|f,
1,0,f|f|t|t,1
1,1,f|t|t|f,2
1,2,f|t|f|t,5
1,3,t|f|f|t,10
1,4,f|t|t|f,11
1,5,t|t|f|t,
1,6,f|t|f|t,15
1,7,f|t|f|t,
1,8,f|t|f|t,
2,0,t|f|f|t,
2,1,t|t|t|f,
2,2,f|t|f|t,6
2,3,f|t|f|t,9
2,4,t|f|f|t,18
2,5,f|f|t|f,17
2,6,f|t|t|f,16
2,7,f|t|f|t,
2,8,f|t|t|t,
3,0,f|f|t|t,
3,1,t|t|f|f,
3,2,f|f|t|t,7
3,3,f|t|t|f,8
3,4,f|t|f|t,19
3,5,t|f|f|t,
3,6,t|f|t|f,
3,7,f|f|t|f,
3,8,t|t|f|f,
4,0,t|f|f|t,
4,1,f|t|t|f,
4,2,t|f|f|t,22
4,3,t|f|t|f,21
4,4,f|t|t|f,20
4,5,f|f|t|t,
4,6,t|f|t|f,
4,7,t|t|t|f,
4,8,f|t|f|t,
5,0,f|f|f|t,29
5,1,t|t|f|f,28
5,2,f|f|t|t,23
5,3,t|t|f|f,24
5,4,t|f|t|t,
5,5,t|f|f|f,
5,6,t|f|t|f,
5,7,t|t|f|f,
5,8,f|t|f|t,
6,0,f|t|f|t,30
6,1,f|f|t|t,27
6,2,t|f|t|f,26
6,3,f|t|t|f,25
6,4,t|f|f|t,
6,5,f|t|t|f,
6,6,t|f|t|t,
6,7,f|f|t|f,
6,8,f|t|t|f,
7,0,f|t|f|t,31
7,1,t|f|t|t,
7,2,t|f|t|f,
7,3,t|f|t|f,
7,4,f|f|t|f,
7,5,t|f|t|f,
7,6,t|f|t|f,
7,7,t|f|t|f,
7,8,t|t|f|f,
8,0,f|f|t|t,32
8,1,t|f|t|f,33
8,2,t|f|t|f,34
8,3,t|f|t|f,35
8,4,t|f|t|f,36
8,5,t|f|t|f,37
8,6,t|f|t|f,38
8,7,t|f|t|f,39
8,8,f|t|t|f,40
