row,col,walls,solutionIndex
0,0,t|f|f|t,0
0,1,t|f|t|f,1
0,2,t|t|f|f,2
0,3,t|f|f|t,7
0,4,t|f|t|f,8
0,5,t|t|f|f,9
0,6,t|f|f|t,
0,7,t|t|t|f,
0,8,t|f|f|t,
0,9,t|f|f|f,
0,10,t|t|t|f,
0,11,t|f|f|t,
0,12,t|f|t|f,
0,13,t|f|t|f,
0,14,t|f|t|f,
0,15,t|f|f|f,
0,16,t|f|t|f,
0,17,t|f|t|f,
0,18,t|f|t|f,
0,19,t|f|f|f,
0,20,t|f|t|f,
0,21,t|f|t|f,
0,22,t|t|t|f,
0,23,t|f|f|t,
0,24,t|f|t|f,
0,25,t|f|f|f,81
0,26,t|t|f|f,82
0,27,t|t|f|t,
1,0,f|f|t|t,
1,1,t|t|f|f,
1,2,f|t|f|t,3
1,3,f|t|f|t,6
1,4,t|t|f|t,
1,5,f|t|f|t,10
1,6,f|f|t|t,
1,7,t|f|t|f,
1,8,f|t|f|f,
1,9,f|f|t|t,
1,10,t|f|t|f,
1,11,f|t|t|f,
1,12,t|f|f|t,31
1,13,t|f|t|f,32
1,14,t|t|f|f,33
1,15,f|f|t|t,
1,16,t|f|t|f,
1,17,t|f|t|f,
1,18,t|t|t|f,
1,19,f|f|f|t,
1,20,t|f|t|f,
1,21,t|f|t|f,
1,22,t|t|f|f,
1,23,f|f|t|t,
1,24,t|t|f|f,
1,25,f|t|f|t,80
1,26,f|f|t|t,83
1,27,f|t|f|f,84
2,0,t|f|f|t,
2,1,f|t|t|f,
2,2,f|f|t|t,4
2,3,f|t|f|f,5
2,4,f|f|f|t,12
2,5,f|t|t|f,11
2,6,t|f|f|t,16
2,7,t|t|f|f,17
2,8,f|f|t|t,
2,9,t|f|t|f,
2,10,t|t|f|f,
2,11,t|t|f|t,
2,12,f|t|f|t,30
2,13,t|f|f|t,35
2,14,f|t|t|f,34
2,15,t|f|f|t,41
2,16,t|f|t|f,42
2,17,t|f|t|f,43
2,18,t|t|f|f,44
2,19,f|f|t|t,
2,20,t|f|f|f,
2,21,t|t|t|f,
2,22,f|f|f|t,
2,23,t|t|f|f,
2,24,f|t|f|t,
2,25,f|f|t|t,79
2,26,t|t|f|f,78
2,27,f|t|f|t,85
3,0,f|t|f|t,
3,1,t|f|f|t,
3,2,t|f|f|f,
3,3,f|t|f|f,
3,4,f|f|t|t,13
3,5,t|f|t|f,14
3,6,f|t|t|f,15
3,7,f|t|f|t,18
3,8,t|f|f|t,23
3,9,t|t|f|f,24
3,10,f|f|t|t,
3,11,f|t|t|f,
3,12,f|t|f|t,29
3,13,f|t|f|t,36
3,14,t|f|f|t,39
3,15,f|t|t|f,40
3,16,t|f|f|t,
3,17,t|t|f|f,
3,18,f|f|t|t,45
3,19,t|t|f|f,46
3,20,f|f|f|t,49
3,21,t|t|f|f,50
3,22,f|t|t|t,
3,23,f|f|f|t,
3,24,f|t|t|f,
3,25,t|f|f|t,76
3,26,f|t|t|f,77
3,27,f|t|f|t,86
4,0,f|f|t|t,
4,1,f|t|t|f,
4,2,f|t|f|t,
4,3,f|f|f|t,
4,4,t|f|t|f,
4,5,t|f|t|f,
4,6,t|t|t|f,
4,7,f|t|f|t,19
4,8,f|t|f|t,22
4,9,f|f|f|t,25
4,10,t|f|t|f,26
4,11,t|f|t|f,27
4,12,f|t|t|f,28
4,13,f|f|t|t,37
4,14,f|t|t|f,38
4,15,t|f|f|t,
4,16,f|t|f|f,
4,17,f|f|t|t,
4,18,t|t|f|f,
4,19,f|f|t|t,47
4,20,f|t|t|f,48
4,21,f|f|t|t,51
4,22,t|t|f|f,52
4,23,f|t|f|t,
4,24,t|f|f|t,74
4,25,f|t|t|f,75
4,26,t|t|f|t,
4,27,f|t|f|t,87
5,0,t|f|f|t,
5,1,t|f|f|f,
5,2,f|t|t|f,
5,3,f|t|t|t,
5,4,t|f|f|t,
5,5,t|f|t|f,
5,6,t|t|f|f,
5,7,f|f|t|t,20
5,8,f|t|t|f,21
5,9,f|f|f|t,
5,10,t|t|f|f,
5,11,t|f|f|t,
5,12,t|t|f|f,
5,13,t|f|f|t,
5,14,t|f|t|f,
5,15,f|t|t|f,
5,16,f|t|f|t,
5,17,t|t|f|t,
5,18,f|f|t|t,
5,19,t|t|f|f,
5,20,t|t|f|t,
5,21,t|f|f|t,54
5,22,f|t|t|f,53
5,23,f|t|f|t,
5,24,f|t|f|t,73
5,25,t|f|t|t,
5,26,f|f|f|f,89
5,27,f|t|t|f,88
6,0,f|t|f|t,
6,1,f|t|t|t,
6,2,t|f|f|t,
6,3,t|t|f|f,
6,4,f|t|f|t,
6,5,t|f|f|t,
6,6,f|t|f|f,
6,7,t|t|f|t,
6,8,t|f|f|t,
6,9,f|t|t|f,
6,10,f|f|t|t,
6,11,f|t|t|f,
6,12,f|t|f|t,
6,13,f|f|t|t,
6,14,t|t|f|f,
6,15,t|f|f|t,
6,16,f|t|t|f,
6,17,f|f|f|t,
6,18,t|t|t|f,
6,19,f|t|f|t,
6,20,f|t|f|t,
6,21,f|t|f|t,55
6,22,t|t|f|t,
6,23,f|t|f|t,
6,24,f|f|t|t,72
6,25,t|t|f|f,71
6,26,f|f|t|t,90
6,27,t|t|f|f,91
7,0,f|f|f|t,
7,1,t|f|t|f,
7,2,f|t|t|f,
7,3,f|f|t|t,
7,4,f|t|t|f,
7,5,f|t|f|t,
7,6,f|t|f|t,
7,7,f|f|t|t,
7,8,f|t|f|f,
7,9,t|f|t|t,
7,10,t|f|t|f,
7,11,t|t|f|f,
7,12,f|f|t|t,
7,13,t|f|t|f,
7,14,f|t|t|f,
7,15,f|f|f|t,
7,16,t|t|f|f,
7,17,f|f|t|t,
7,18,t|t|f|f,
7,19,f|f|t|t,
7,20,f|t|f|f,
7,21,f|t|f|t,56
7,22,f|f|t|t,
7,23,f|t|t|f,
7,24,t|f|f|t,69
7,25,f|t|t|f,70
7,26,t|f|f|t,93
7,27,f|t|t|f,92
8,0,f|t|f|t,
8,1,t|t|f|t,
8,2,t|f|f|t,
8,3,t|t|f|f,
8,4,t|f|f|t,
8,5,f|t|t|f,
8,6,f|f|t|t,
8,7,t|t|f|f,
8,8,f|f|f|t,
8,9,t|f|t|f,
8,10,t|f|t|f,
8,11,f|f|t|f,
8,12,t|t|t|f,
8,13,t|f|f|t,
8,14,t|t|f|f,
8,15,f|t|f|t,
8,16,f|f|t|t,
8,17,t|t|f|f,
8,18,f|f|f|t,
8,19,t|t|t|f,
8,20,f|t|f|t,
8,21,f|t|f|t,57
8,22,t|f|f|t,66
8,23,t|f|t|f,67
8,24,f|t|t|f,68
8,25,t|t|f|t,
8,26,f|f|t|t,94
8,27,t|t|f|f,95
9,0,f|f|t|t,
9,1,f|t|f|f,
9,2,f|t|f|t,
9,3,f|t|f|t,
9,4,f|t|f|t,
9,5,t|f|f|t,
9,6,t|f|t|f,
9,7,f|t|t|f,
9,8,f|t|t|t,
9,9,t|f|f|t,
9,10,t|t|f|f,
9,11,t|f|f|t,
9,12,t|f|t|f,
9,13,f|t|t|f,
9,14,f|t|f|t,
9,15,f|f|t|t,
9,16,t|t|t|f,
9,17,f|t|f|t,
9,18,f|t|f|t,
9,19,t|f|f|t,
9,20,f|f|t|f,
9,21,f|t|f|f,58
9,22,f|f|t|t,65
9,23,t|f|t|f,64
9,24,t|t|f|f,63
9,25,f|f|t|t,
9,26,t|t|f|f,
9,27,f|t|f|t,96
10,0,t|t|f|t,
10,1,f|t|f|t,
10,2,f|t|f|t,
10,3,f|t|f|t,
10,4,f|t|f|t,
10,5,f|f|t|t,
10,6,t|f|t|f,
