row,col,walls,solutionIndex
0,0,t|f|f|t,0
0,1,t|t|f|f,1
0,2,t|t|f|t,
0,3,t|f|f|t,
0,4,t|f|f|f,
0,5,t|f|t|f,
0,6,t|t|f|f,
0,7,t|f|f|t,
0,8,t|f|f|f,
0,9,t|t|f|f,
0,10,t|t|f|t,
0,11,t|f|f|t,
0,12,t|f|f|f,
0,13,t|f|t|f,
0,14,t|f|t|f,
0,15,t|f|t|f,
0,16,t|t|f|f,
0,17,t|f|t|t,
0,18,t|t|f|f,
0,19,t|f|f|t,
0,20,t|f|f|f,
0,21,t|f|t|f,
0,22,t|t|f|f,
1,0,f|t|f|t,
1,1,f|t|f|t,2
1,2,f|f|t|t,
1,3,f|t|t|f,
1,4,f|t|f|t,
1,5,t|t|f|t,
1,6,f|t|f|t,
1,7,f|t|t|t,
1,8,f|t|f|t,
1,9,f|t|f|t,
1,10,f|f|t|t,
1,11,f|t|f|f,
1,12,f|t|f|t,
1,13,t|f|f|t,
1,14,t|f|t|f,
1,15,t|t|t|f,
1,16,f|f|t|t,
1,17,t|t|f|f,
1,18,f|t|f|t,
1,19,f|t|f|t,
1,20,f|f|t|t,
1,21,t|t|f|f,
1,22,f|t|f|t,
2,0,f|t|f|t,
2,1,f|f|t|t,3
2,2,t|f|t|f,4
2,3,t|f|f|f,5
2,4,f|t|t|f,
2,5,f|t|f|t,
2,6,f|f|t|t,
2,7,t|f|t|f,
2,8,f|t|t|f,
2,9,f|f|t|t,
2,10,t|t|f|f,
2,11,f|t|f|t,
2,12,f|t|f|t,
2,13,f|f|f|t,41
2,14,t|f|t|f,42
2,15,t|f|f|f,43
2,16,t|t|f|f,
2,17,f|t|f|t,
2,18,f|f|f|t,
2,19,f|t|t|f,
2,20,t|f|f|t,
2,21,f|t|t|f,
2,22,f|t|f|t,
3,0,f|f|f|t,
3,1,t|f|t|f,
3,2,t|f|t|f,
3,3,f|f|t|f,6
3,4,t|t|f|f,7
3,5,f|f|t|t,
3,6,t|f|f|f,13
3,7,t|t|f|f,14
3,8,t|f|t|t,
3,9,t|t|f|f,
3,10,f|t|f|t,
3,11,f|t|f|t,
3,12,f|t|f|t,
3,13,f|t|f|t,40
3,14,t|t|f|t,
3,15,f|t|f|t,44
3,16,f|t|t|t,
3,17,f|t|f|t,
3,18,f|t|t|t,
3,19,t|f|f|t,
3,20,f|t|t|f,
3,21,t|t|f|t,
3,22,f|t|f|t,
4,0,f|f|t|t,
4,1,t|t|f|f,
4,2,t|f|f|t,
4,3,t|f|t|f,
4,4,f|f|t|f,8
4,5,t|t|f|f,9
4,6,f|t|f|t,12
4,7,f|t|f|t,15
4,8,t|f|f|t,
4,9,f|t|t|f,
4,10,f|t|f|t,
4,11,f|t|f|t,
4,12,f|f|f|t,38
4,13,f|t|f|f,39
4,14,f|t|f|t,
4,15,f|f|t|t,45
4,16,t|t|f|f,46
4,17,f|f|t|t,
4,18,t|f|f|f,
4,19,f|t|t|f,
4,20,t|f|f|t,
4,21,f|t|t|f,
4,22,f|t|f|t,
5,0,t|f|f|t,
5,1,f|t|t|f,
5,2,f|t|f|t,
5,3,t|f|f|t,
5,4,t|t|f|f,
5,5,f|f|t|t,10
5,6,f|t|t|f,11
5,7,f|f|t|t,16
5,8,f|t|f|f,17
5,9,t|f|f|t,
